고객ID,불만내용
CUST101,결제는 정상적으로 완료됐는데 주문 내역에 해당 주문이 표시되지 않아 불안합니다.
CUST102,결제 진행 중 오류가 발생해 결제가 중간에 실패했는데 카드로는 승인 문자가 왔습니다.
CUST103,같은 상품을 한 번 결제했는데 이중으로 결제되어 두 번 청구되었습니다.
CUST104,주문 완료 후 바로 주문 취소를 눌렀는데 취소 처리가 되지 않고 그대로 배송되었습니다.
CUST105,결제 수단을 간편결제로 선택했는데 결제 단계에서 계속 오류가 발생합니다.
CUST106,쿠폰을 적용했는데 결제 금액에 할인이 반영되지 않았습니다.
CUST107,장바구니에 담아둔 쿠폰이 결제하려는 순간 사라져서 사용할 수 없었습니다.
CUST108,유효기간이 아직 남은 쿠폰인데 사용 불가 쿠폰이라고 표시됩니다.
CUST109,첫 구매 할인 쿠폰이 자동 적용된다고 안내받았는데 실제로는 적용되지 않았습니다.
CUST110,로그인 인증번호 문자가 너무 늦게 도착해서 제한 시간 안에 입력하지 못했습니다.
CUST111,아이디와 비밀번호가 맞는데도 로그인이 계속 실패합니다.
CUST112,비밀번호를 변경하려는데 오류가 발생해 변경이 되지 않습니다.
CUST113,소셜 로그인으로 가입했는데 다시 로그인하면 계정을 찾을 수 없다고 나옵니다.
CUST114,배송 예정일이 이미 지났는데 배송 상태가 상품 준비중에서 바뀌지 않습니다.
CUST115,배송 조회를 하면 운송장 번호가 조회되지 않는다고 나옵니다.
CUST116,주문한 상품과 전혀 다른 상품이 배송되었습니다.
CUST117,배송이 계속 지연되는데 언제 도착하는지 안내가 전혀 없습니다.
CUST118,환불 신청을 했는데 처리 상태를 확인할 수 없어 답답합니다.
CUST119,반품 접수 후 일주일이 지났는데 환불 금액이 아직 입금되지 않았습니다.
CUST120,주문 취소는 되었다고 하는데 결제 취소가 되지 않아 돈이 그대로 빠져나갔습니다.
CUST121,앱이 실행하자마자 계속 멈추고 강제 종료됩니다.
CUST122,앱에서 상품 이미지가 로딩되지 않고 화면이 하얗게 보입니다.
CUST123,앱 업데이트 이후로 장바구니에 담기 버튼이 동작하지 않습니다.
CUST124,앱이 전반적으로 너무 느리고 페이지를 넘길 때마다 버벅입니다.
CUST125,고객센터에 전화하면 상담원 연결까지 대기 시간이 20분 넘게 걸립니다.
CUST126,채팅 상담을 시도했는데 상담원이 불친절하게 응대해서 기분이 상했습니다.
CUST127,문의를 남겼는데 며칠째 답변이 오지 않습니다.
CUST128,회원 탈퇴를 하려는데 탈퇴 버튼을 찾을 수 없어 탈퇴가 되지 않습니다.
CUST129,결제 후 주문 확인 이메일이나 영수증이 전혀 오지 않습니다.
CUST130,적립 포인트가 만료되었다는데 만료 안내를 받은 적이 없어 당황스럽습니다.
